ID_SUPERSTARS,SUPERSTARS,WEIGHT,HEIGHT,NATIONALITY,BIRTHDAY
1,Undertaker,136,208,"Houston, Texas, USA",1965-03-24
2,"John Cena",114,185,"West Newbury, Massachusetts, USA",1977-04-23
3,"Shawn Michaels",103,185,"Chandler, Arizona, USA",1965-07-22
4,"AJ Styles",99,180,"Jacksonville, North Carolina, USA",1977-06-02
5,"Randy Orton",110,193,"Knoxville, Tennessee, USA",1980-04-01
6,"Triple H",116,193,"Nashua, New Hampshire, USA",1969-07-27
7,"The Miz",105,185,"Parma, Ohio, USA",1980-10-08
8,"Roman Reigns",120,190,"Pensacola, Florida, USA",1985-05-25
9,"Rey Mysterio",74,162,"San Ysidro, California, USA",1974-12-11
10,"Brock Lesnar",121,193,"Webster, South Dakota, USA",1977-07-12
11,"Seth Rollins",98,187,"Buffalo, Iowa, USA",1986-05-28
12,"Cody Rhodes",100,185,"Charlotte, North Carolina, USA",1985-06-30
13,Kane,147,208,"Madrid, Spanien",1967-04-26
14,"Kevin Owens",120,180,"Saint-Jean-sur-Richelieu, Quebec, Canada",1984-05-07
15,"Sami Zayn",96,185,"Laval, Quebec, Canada",1984-07-12
16,Sheamus,121,193,"Dublin, Ireland",1978-01-28
17,"Shinsuke Nakamura",100,188,"Mineyama, Kyoto, Japan",1980-02-24
18,"Kofi Kingston",97,185,"Kumasi, Ashanti-Region, Ghana",1981-08-14
19,"Drew McIntyre",121,196,"Ayr, Scotland, UK",1985-06-06
20,Goldberg,129,193,"Tulsa, Oklahoma, USA",1966-12-27
21,"Bobby Lashley",124,190,"Kansas City, Missouri, USA",1976-07-16
22,"Finn Balor",87,180,"Bray, County Wicklow, Ireland",1981-07-25
23,Gunther,134,193,"Wien, Österreich",1987-08-20
24,"Charlotte Flair",65,178,"Charlotte, North Carolina, USA",1986-04-05
25,MVP,114,180,"Miami, Florida, USA",1973-10-28
26,"Paul Heyman",106,180,"Scarsdale, New York, USA",1965-09-11
27,"Becky Lynch",59,168,"Dublin, Ireland",1987-01-30
28,"William Regal",111,187,"Codsall Wood, Staffordshire, England, UK",1968-05-10
29,Asuka,62,160,"Osaka, Japan",1981-09-26
