SUPERSTARS,DATE,DAYS,TEAMS,TITLES,GENDER
Charlotte,2016-04-03,113,NULL,WOMENS_WWE,female
"Sasha Banks",2016-07-25,27,NULL,WOMENS_WWE,female
Charlotte,2016-08-21,43,NULL,WOMENS_WWE,female
"Sasha Banks",2016-10-03,27,NULL,WOMENS_WWE,female
"Charlotte Flair",2016-10-30,29,NULL,WOMENS_WWE,female
"Sasha Banks",2016-11-28,20,NULL,WOMENS_WWE,female
"Charlotte Flair",2016-12-18,57,NULL,WOMENS_WWE,female
Bayley,2017-02-13,76,NULL,WOMENS_WWE,female
"Alexa Bliss",2017-04-30,112,NULL,WOMENS_WWE,female
"Sasha Banks",2017-08-20,8,NULL,WOMENS_WWE,female
"Alexa Bliss",2017-08-28,223,NULL,WOMENS_WWE,female
"Nia Jax",2018-04-08,70,NULL,WOMENS_WWE,female
"Alexa Bliss",2018-06-17,63,NULL,WOMENS_WWE,female
"Ronda Rousey",2018-08-19,231,NULL,WOMENS_WWE,female
"Becky Lynch",2019-04-07,374,NULL,WOMENS_WWE,female
Asuka,2020-04-15,96,NULL,WOMENS_WWE,female
"Sasha Banks",2020-07-20,34,NULL,WOMENS_WWE,female
Asuka,2020-08-23,231,NULL,WOMENS_WWE,female
"Rhea Ripley",2021-04-11,98,NULL,WOMENS_WWE,female
"Charlotte Flair",2021-07-18,1,NULL,WOMENS_WWE,female
"Nikki A.S.H.",2021-07-19,33,NULL,WOMENS_WWE,female
"Charlotte Flair",2021-08-21,62,NULL,WOMENS_WWE,female
"Becky Lynch",2021-10-22,162,NULL,WOMENS_WWE,female
"Bianca Belair",2022-04-02,420,NULL,WOMENS_WWE,female
Asuka,2023-05-27,70,NULL,WOMENS_WWE,female
"Bianca Belair",2023-08-05,0,NULL,WOMENS_WWE,female
"IYO SKY",2023-08-05,52,NULL,WOMENS_WWE,female
"Becky Lynch",2016-09-11,84,NULL,WOMENS_SMACKDOWN,female
"Alexa Bliss",2016-12-04,70,NULL,WOMENS_SMACKDOWN,female
Naomi,2017-02-12,9,NULL,WOMENS_SMACKDOWN,female
"Alexa Bliss",2017-02-21,40,NULL,WOMENS_SMACKDOWN,female
Naomi,2017-04-02,140,NULL,WOMENS_SMACKDOWN,female
Natalya,2017-08-20,86,NULL,WOMENS_SMACKDOWN,female
"Charlotte Flair",2017-11-14,147,NULL,WOMENS_SMACKDOWN,female
Carmella,2018-04-10,131,NULL,WOMENS_SMACKDOWN,female
"Charlotte Flair",2018-08-19,28,NULL,WOMENS_SMACKDOWN,female
"Becky Lynch",2018-09-16,91,NULL,WOMENS_SMACKDOWN,female
Asuka,2018-12-16,100,NULL,WOMENS_SMACKDOWN,female
"Charlotte Flair",2019-03-26,12,NULL,WOMENS_SMACKDOWN,female
